county,juris,industry,emp_all
61,Sultan,7,90
61,Unincorporated,7,11852
61,Woodway,7,73
99,Region,7,651313
33,Auburn,8,205
33,Bellevue,8,3811
33,Black Diamond,8,-99
33,Bothell,8,544
33,Burien,8,235
33,Carnation,8,-99
33,Clyde Hill,8,-99
33,Covington,8,71
33,Des Moines,8,58
33,Duvall,8,106
33,Enumclaw,8,41
33,Federal Way,8,424
33,Issaquah,8,548
33,Kenmore,8,434
33,Kent,8,420
33,Kirkland,8,1576
33,Lake Forest Park,8,24
33,Maple Valley,8,161
33,Medina,8,-99
33,Mercer Island,8,719
33,Newcastle,8,40
33,Normandy Park,8,7
33,North Bend,8,88
33,Redmond,8,1919
33,Renton,8,885
33,Sammamish,8,1349
33,SeaTac,8,229
33,Seattle,8,17901
33,Shoreline,8,950
33,Skykomish,8,-99
33,Snoqualmie,8,126
33,Tukwila,8,520
33,Unincorporated,8,1659
33,Woodinville,8,488
35,Bainbridge Island,8,469
35,Bremerton,8,151
35,Port Orchard,8,87
35,Poulsbo,8,23
35,Unincorporated,8,420
53,Auburn,8,-99
53,Bonney Lake,8,45
53,Buckley,8,-99
53,DuPont,8,119
53,Edgewood,8,-99
53,Fife,8,41
53,Fircrest,8,14
53,Gig Harbor,8,222
53,Lakewood,8,363
53,Milton,8,-99
53,Puyallup,8,737
53,Ruston,8,-99
53,Steilacoom,8,11
53,Sumner,8,84
53,Tacoma,8,2925
53,Unincorporated,8,2527
53,University Place,8,417
61,Arlington,8,53
61,Bothell,8,409
61,Brier,8,-99
61,Darrington,8,-99
61,Edmonds,8,281
61,Everett,8,472
61,Gold Bar,8,-99
61,Granite Falls,8,0
61,Lake Stevens,8,60
61,Lynnwood,8,225
61,Marysville,8,122
61,Mill Creek,8,70
61,Monroe,8,197
61,Mountlake Terrace,8,307
61,Mukilteo,8,-99
61,Snohomish,8,105
61,Stanwood,8,26
61,Sultan,8,-99
61,Unincorporated,8,1021
61,Woodway,8,-99
99,Region,8,48342
33,Algona,9,8
33,Auburn,9,5084
33,Bellevue,9,14693
33,Black Diamond,9,-99
33,Bothell,9,2232
33,Burien,9,2743
33,Carnation,9,74
33,Clyde Hill,9,4
33,Covington,9,483
33,Des Moines,9,1347
33,Duvall,9,115
33,Enumclaw,9,910
33,Federal Way,9,7577
33,Issaquah,9,4850
33,Kenmore,9,375
33,Kent,9,4507
33,Kirkland,9,5651
33,Lake Forest Park,9,238
33,Maple Valley,9,617
33,Medina,9,5
33,Mercer Island,9,1504
33,Milton,9,-99
33,Newcastle,9,351
33,Normandy Park,9,176
33,North Bend,9,351
33,Pacific,9,-99
33,Redmond,9,4051
33,Renton,9,8092
33,Sammamish,9,657
33,SeaTac,9,1248
33,Seattle,9,76122
33,Shoreline,9,2837
33,Snoqualmie,9,410
33,Tukwila,9,3721
33,Unincorporated,9,2600
33,Woodinville,9,896
33,Yarrow Point,9,-99
35,Bainbridge Island,9,761
35,Bremerton,9,4399
35,Port Orchard,9,1130
35,Poulsbo,9,1303
35,Unincorporated,9,4435
53,Auburn,9,32
53,Bonney Lake,9,635
53,Buckley,9,147
53,Carbonado,9,-99
53,DuPont,9,300
53,Eatonville,9,70
53,Edgewood,9,121
53,Fife,9,420
53,Fircrest,9,97
53,Gig Harbor,9,2158
