'faz_id','sector_id','home_based_jobs'
6930.00,1,55.00
6930.00,2,32.00
6930.00,3,71.00
6930.00,4,37.00
6930.00,5,110.00
6930.00,7,575.00
6930.00,8,44.00
6930.00,9,100.00
6930.00,10,22.00
6930.00,11,192.00
7015.00,2,31.00
7015.00,3,107.00
7015.00,4,31.00
7015.00,5,53.00
7015.00,7,351.00
7015.00,8,41.00
7015.00,9,94.00
7025.00,2,24.00
7025.00,4,39.00
7025.00,5,47.00
7025.00,7,315.00
7025.00,8,32.00
7025.00,9,72.00
7025.00,10,8.00
7025.00,11,58.00
7026.00,1,31.00
7026.00,2,39.00
7026.00,3,24.00
7026.00,5,55.00
7026.00,7,276.00
7026.00,8,34.00
7026.00,9,78.00
7026.00,10,5.00
7026.00,11,36.00
7026.00,12,24.00
7100.00,3,71.00
7100.00,5,16.00
7100.00,7,218.00
7100.00,8,10.00
7100.00,9,22.00
7205.00,2,70.00
7205.00,3,24.00
7205.00,4,24.00
7205.00,5,31.00
7205.00,7,150.00
7205.00,8,38.00
7205.00,9,88.00
7205.00,10,3.00
7205.00,11,22.00
7206.00,3,6.00
7206.00,5,55.00
7206.00,7,173.00
7206.00,8,46.00
7206.00,9,105.00
7206.00,10,2.00
7206.00,11,14.00
7315.00,2,31.00
7315.00,4,55.00
7315.00,5,16.00
7315.00,7,228.00
7315.00,8,34.00
7315.00,9,78.00
7316.00,1,16.00
7316.00,2,16.00
7316.00,3,31.00
7316.00,4,40.00
7316.00,5,71.00
7316.00,7,385.00
7316.00,8,14.00
7316.00,9,33.00
7316.00,10,2.00
7316.00,11,14.00
7320.00,2,55.00
7320.00,4,31.00
7320.00,5,141.00
7320.00,7,584.00
7320.00,8,38.00
7320.00,9,84.00
7320.00,10,5.00
7320.00,11,42.00
7335.00,2,16.00
7335.00,3,218.00
7335.00,4,133.00
7335.00,5,189.00
7335.00,7,481.00
7335.00,8,70.00
7335.00,9,161.00
7335.00,10,2.00
7335.00,11,14.00
7340.00,2,87.00
7340.00,3,63.00
7340.00,4,56.00
7340.00,5,16.00
7340.00,7,417.00
