'block_id','sector_id','number_of_jobs'
' 53033024500200','15',6.00
' 53033024500200','16',3.00
' 53033024701200','13',1.00
' 53033024800101','11',1.00
' 53033024800101','14',2.00
' 53033024800101','16',1.00
' 53033024800101','2',4.00
' 53033024800200','13',16.00
' 53033024800200','14',1.00
' 53033024800200','15',1.00
' 53033024800200','16',3.00
' 53033024800301','11',2.00
' 53033024800301','12',1.00
' 53033024800301','13',3.00
' 53033024800301','14',2.00
' 53033024800301','17',1.00
' 53033024800301','6',1.00
' 53033024800302','14',19.00
' 53033024800302','18',1.00
' 53033025102401','11',1.00
' 53033025102401','14',5.00
' 53033025102401','17',42.00
' 53033025102401','7',5.00
' 53033025301302','13',6.00
' 53033025301302','16',2.00
' 53033025301302','17',2.00
' 53033025301302','6',1.00
' 53033025301302','7',59.00
' 53033025302300','13',1.00
' 53033025302300','14',1.00
' 53033025302300','16',9.00
' 53033025302300','17',2.00
' 53033025302300','3',1.00
' 53033025400101','16',1.00
' 53033025400101','17',1.00
' 53033025400101','7',3.00
' 53033025400201','17',1.00
' 53033025400301','7',5.00
' 53033025803300','12',2.00
' 53033025803300','14',10.00
' 53033025803300','17',35.00
' 53033026001402','17',2.00
' 53033026002100','17',2.00
' 53033026200103','12',73.00
' 53033026200103','13',46.00
' 53033026200103','14',22.00
' 53033026200103','16',3.00
' 53033026200103','17',49.00
' 53033026200103','18',5.00
' 53033026200103','3',33.00
' 53033026200103','8',8.00
' 53033026200106','7',2.00
' 53033026200108','14',5.00
' 53033026200108','3',9.00
' 53033026200108','8',7.00
' 53033026200111','13',10.00
' 53033026200111','6',1.00
' 53033026200111','7',1.00
' 53033026200112','11',1.00
' 53033026200112','14',1.00
' 53033026200112','7',1.00
' 53033026200115','12',3.00
' 53033026200115','13',8.00
' 53033026200115','14',2.00
' 53033026200115','17',1.00
' 53033026200115','18',1.00
' 53033026200115','2',5.00
' 53033026200115','3',28.00
' 53033026200115','6',7.00
' 53033026200115','7',24.00
' 53033026200118','14',9.00
' 53033026200118','16',18.00
' 53033026200118','6',14.00
' 53033026200301','12',2.00
' 53033026200301','13',1.00
' 53033026200301','14',1.00
' 53033026200301','17',1.00
' 53033026200301','18',13.00
' 53033026200301','6',7.00
' 53033026300102','17',22.00
' 53033026300102','2',53.00
' 53033026300102','3',23.00
' 53033026300102','6',5.00
' 53033026300102','7',7.00
' 53033026400200','2',6.00
' 53033026500100','3',1.00
' 53033026500202','17',2.00
' 53033026700200','16',1.00
' 53033026802100','18',1.00
' 53033026802200','16',2.00
' 53033027100100','16',1.00
' 53033027100100','18',1.00
' 53033027100100','2',1.00
' 53033027200102','16',7.00
' 53033027200102','8',23.00
' 53033027500202','12',1.00
' 53033027500202','13',2.00
' 53033027500202','14',1.00
' 53033027500202','7',4.00
' 53033028100200','14',99.00
' 53033028200200','17',7.00
' 53033028300303','12',1.00
' 53033028300303','13',7.00
' 53033028300303','16',3.00
' 53033028300303','17',1.00
' 53033028300303','7',4.00
' 53033028300303','8',17.00
' 53033028402200','12',1.00
' 53033028402200','14',9.00
' 53033028402200','17',4.00
' 53033028402200','8',7.00
' 53033028402400','12',1.00
' 53033028402400','13',13.00
' 53033028402400','14',32.00
' 53033028402400','17',1.00
' 53033028402400','18',19.00
' 53033028402400','2',1.00
' 53033028402400','7',3.00
' 53033028402400','8',55.00
' 53033028402404','12',1.00
' 53033028402404','16',2.00
' 53033028402404','17',10.00
' 53033028402404','2',1.00
' 53033028402404','6',7.00
' 53033028402404','8',3.00
' 53033028402405','11',1.00
' 53033028402405','14',8.00
' 53033028402405','17',1.00
' 53033028402405','6',1.00
' 53033028402405','7',3.00
' 53033028402405','8',12.00
' 53033028403201','12',3.00
' 53033028403201','13',7.00
' 53033028403201','14',40.00
' 53033028403201','16',1.00
' 53033028403201','17',3.00
' 53033028403201','6',1.00
' 53033028403201','8',7.00
' 53033028802101','12',1.00
' 53033028802101','13',3.00
' 53033028802101','17',5.00
' 53033028802101','6',1.00
' 53033028802101','8',97.00
' 53033029003100','15',13.00
' 53033029004102','17',1.00
' 53033029102301','12',2.00
' 53033029102301','17',2.00
' 53033029203100','12',1.00
' 53033029203100','13',2.00
' 53033029203100','14',1.00
' 53033029203100','17',1.00
' 53033029203100','7',1.00
' 53033029203107','12',1.00
' 53033029203107','13',43.00
' 53033029203107','16',33.00
' 53033029203107','6',3.00
' 53033029205101','11',1.00
' 53033029205101','12',1.00
' 53033029205101','3',3.00
' 53033029205101','6',1.00
' 53033029205101','8',1.00
' 53033029206100','12',5.00
' 53033029206100','14',8.00
' 53033029206100','16',2.00
' 53033029206100','17',3.00
' 53033029206100','2',2.00
' 53033029206100','3',4.00
' 53033029206100','6',14.00
' 53033029206100','7',27.00
' 53033029206100','8',3.00
' 53033029206101','8',6.00
' 53033029206102','17',5.00
' 53033029206102','3',81.00
' 53033029206102','6',10.00
' 53033029206103','12',1.00
' 53033029206103','6',5.00
' 53033029206103','8',35.00
' 53033029206104','17',3.00
' 53033029206104','3',5.00
' 53033029206104','6',1.00
' 53033029206104','7',1.00
' 53033029206106','11',2.00
' 53033029206106','13',5.00
' 53033029206106','14',5.00
' 53033029206106','16',3.00
' 53033029206106','2',23.00
' 53033029206106','3',10.00
' 53033029206106','6',172.00
' 53033029206106','7',27.00
' 53033029206106','8',90.00
' 53033029206107','11',2.00
' 53033029206107','13',1.00
' 53033029206107','2',1.00
' 53033029206107','6',1.00
' 53033029206107','8',1.00
' 53033029206113','14',1.00
' 53033029206114','6',1.00
' 53033029206114','7',3.00
' 53033029206114','8',1.00
' 53033029206114','9',1.00
' 53033029303302','12',7.00
' 53033029303302','14',14.00
' 53033029303302','17',4.00
' 53033029303302','6',1.00
' 53033029303302','7',72.00
' 53033029303500','16',1.00
' 53033029408300','12',1.00
' 53033029408300','17',2.00
' 53033029408300','6',1.00
' 53033029503200','12',13.00
' 53033029503200','14',16.00
' 53033029503200','16',4.00
' 53033029503200','6',1.00
' 53033029503200','7',1.00
' 53033029503500','17',1.00
' 53033029504100','12',3.00
' 53033029504100','6',2.00
' 53033029601300','12',2.00
' 53033029601300','13',1.00
' 53033029601300','17',11.00
' 53033029700200','12',2.00
' 53033029700402','2',6.00
' 53033029700402','3',5.00
' 53033029700402','6',2.00
' 53033029700402','7',1.00
' 53033029700405','13',7.00
' 53033029700405','6',12.00
' 53033029700405','8',23.00
' 53033029801201','17',1.00
' 53033029801500','12',1.00
' 53033029801500','13',1.00
' 53033029801500','14',1.00
' 53033029801501','12',30.00
' 53033029901101','7',1.00
' 53033030003501','17',2.00
' 53033030004300','17',2.00
' 53033030005100','7',1.00
' 53033030201400','17',1.00
' 53033030305102','17',1.00
' 53033030305201','17',3.00
' 53033030305201','9',1.00
' 53033030314200','13',1.00
' 53033030314200','16',1.00
' 53033030314200','17',2.00
' 53033030401302','12',1.00
' 53033030401302','13',21.00
' 53033030403300','14',12.00
' 53033030403300','16',5.00
' 53033030403300','17',1.00
' 53033030403300','2',1.00
' 53033030403300','3',4.00
' 53033030403300','7',3.00
' 53033030501105','17',3.00
' 53033030503100','12',4.00
' 53033030503100','17',7.00
' 53033030700102','13',4.00
' 53033030700102','14',21.00
' 53033030801102','13',2.00
' 53033030801102','17',2.00
' 53033030801102','18',2.00
' 53033030801102','3',165.00
' 53033030801102','6',2.00
' 53033030801102','8',5.00
' 53033030802201','7',73.00
' 53033030901101','7',7.00
' 53033031100400','12',13.00
' 53033031400202','3',2.00
' 53033031400500','16',1.00
' 53033031502303','11',1.00
' 53033031502303','14',2.00
' 53033031704200','17',1.00
' 53033031704301','17',1.00
' 53033031706200','14',2.00
' 53033031706200','16',3.00
' 53033031706200','2',1.00
' 53033031706200','7',1.00
' 53033031903403','8',1.00
' 53033031904101','13',16.00
' 53033031904101','17',1.00
' 53033031904101','2',1.00
' 53033031904101','3',8.00
' 53033031904101','6',3.00
' 53033031904101','8',1.00
' 53033031904102','13',1.00
' 53033031904102','3',1.00
' 53033031906201','15',36.00
' 53033031908200','17',1.00
' 53033031908201','14',3.00
' 53033031908201','8',4.00
' 53033032003101','7',4.00
' 53033032103100','3',1.00
' 53033032103102','11',81.00
' 53033032103102','12',3.00
' 53033032103102','14',30.00
' 53033032103102','15',4.00
' 53033032103102','16',26.00
' 53033032103102','17',7.00
' 53033032103102','2',1.00
' 53033032103102','3',5.00
' 53033032103102','7',88.00
' 53033032103105','3',5.00
' 53033032103202','13',2.00
' 53033032103202','14',1.00
' 53033032103202','16',4.00
' 53033032103202','17',2.00
' 53033032103203','17',3.00
' 53033032208100','15',23.00
' 53033032208100','16',17.00
' 53033032208100','17',14.00
' 53033032208306','11',5.00
' 53033032208306','12',1.00
' 53033032208306','13',119.00
' 53033032208306','16',10.00
' 53033032208306','17',38.00
' 53033032208306','6',6.00
' 53033032208306','7',1.00
' 53033032208306','8',1.00
' 53033032210106','11',8.00
' 53033032210106','12',1.00
' 53033032210106','13',2.00
' 53033032210106','14',1.00
' 53033032210106','3',8.00
' 53033032210106','6',9.00
' 53033032210106','7',1.00
' 53033032210301','13',1.00
' 53033032215202','13',1.00
' 53033032309100','17',12.00
' 53033032309100','2',2.00
' 53033032309100','3',23.00
' 53033032309101','12',1.00
' 53033032309101','13',4.00
' 53033032309101','17',1.00
' 53033032309101','2',9.00
' 53033032309101','3',20.00
' 53033032309101','6',8.00
' 53033032309101','7',4.00
' 53033032309102','12',2.00
' 53033032309102','13',31.00
' 53033032309102','14',1.00
' 53033032309102','15',2.00
' 53033032309102','16',8.00
' 53033032309102','17',1.00
' 53033032309102','3',29.00
' 53033032309102','6',14.00
' 53033032309105','11',249.00
' 53033032309105','13',266.00
' 53033032309201','11',1.00
' 53033032309201','14',9.00
' 53033032309201','18',10.00
' 53033032309201','6',4.00
' 53033032309201','7',35.00
' 53033032309203','14',2.00
' 53033032309203','17',1.00
' 53033032309203','7',3.00
' 53033032309302','12',2.00
' 53033032311102','2',1.00
' 53033032313300','11',4.00
' 53033032313300','13',4.00
' 53033032313300','3',8.00
' 53033032313300','8',5.00
' 53033032313401','13',1.00
' 53033032318400','6',1.00
' 53033032319300','12',1.00
' 53033032319300','13',3.00
' 53033032319300','17',4.00
' 53033032319300','2',5.00
' 53033032319300','3',5.00
' 53033032319300','6',1.00
' 53033032319300','7',1.00
' 53033032325200','6',5.00
' 53033032325300','12',1.00
' 53033032325300','16',22.00
' 53033032325300','17',4.00
' 53033032601205','1',2.00
' 53033032601205','17',1.00
' 53033032601205','2',1.00
' 53033032602303','18',7.00
' 53033032704102','14',3.00
' 53033032704102','16',4.00
' 53033032704102','17',1.00
' 53033032704102','7',2.00
' 53033032704105','17',2.00
' 53033032704201','14',8.00
' 53033032704201','17',3.00
' 53033032704201','6',2.00
' 53033032704201','7',9.00
' 53033990100000','11',2.00
' 53033990100001','11',15.00
' 53033990100001','12',9.00
' 53033990100001','13',8.00
' 53033990100001','14',52.00
' 53033990100001','15',5.00
' 53033990100001','16',28.00
' 53033990100001','17',52.00
' 53033990100001','3',2.00
' 53033990100001','6',13.00
' 53033990100001','7',8.00
' 53033990100002','1',8.00
' 53033990100002','13',8.00
' 53033990100002','14',11.00
' 53033990100002','7',1.00
' 53033990100003','14',32.00
' 53033990100005','16',1.00
' 53033990100007','14',76.00
' 53033990100007','17',1.00
' 53033990100007','9',2.00
' 53035080200201','17',2.00
' 53035080600500','13',2.00
' 53035080600500','15',934.00
' 53035080800200','15',1.00
' 53035080800200','2',2.00
' 53035081000100','12',10.00
' 53035081400103','13',22.00
' 53035081400103','14',4.00
' 53035081400103','16',2.00
' 53035090101200','17',3.00
' 53035090101201','17',3.00
' 53035090300101','17',1.00
' 53035090300200','13',13.00
' 53035090300200','14',1.00
' 53035090300200','17',1.00
' 53035090300401','14',14.00
' 53035090300401','16',2.00
' 53035090300404','13',45.00
